2026-03-05 01:38:32.576 PULSE    pos=26 sym=0 width=161ms t=102.639s
2026-03-05 01:38:33.540 SIGNAL   power=-108.8dBm snr=17.6dB
2026-03-05 01:38:33.888 PULSE    pos=27 sym=1 width=555ms t=103.539s
2026-03-05 01:38:35.246 PULSE    pos=28 sym=? width=1101ms t=104.441s
2026-03-05 01:38:35.543 SIGNAL   power=-110.6dBm snr=16.0dB
2026-03-05 01:38:35.739 PULSE    pos=29 sym=1 width=468ms t=105.543s
2026-03-05 01:38:36.531 PULSE    pos=30 sym=1 width=394ms t=106.443s
2026-03-05 01:38:37.346 PULSE    pos=31 sym=0 width=193ms t=107.343s
2026-03-05 01:38:37.549 SIGNAL   power=-111.0dBm snr=15.7dB
2026-03-05 01:38:38.504 PULSE    pos=32 sym=1 width=507ms t=108.317s
2026-03-05 01:38:39.403 PULSE    pos=33 sym=1 width=491ms t=109.228s
2026-03-05 01:38:39.553 SIGNAL   power=-105.7dBm snr=20.8dB
2026-03-05 01:38:40.242 PULSE    pos=34 sym=0 width=327ms t=110.204s
2026-03-05 01:38:41.245 PULSE    pos=35 sym=1 width=428ms t=111.167s
2026-03-05 01:38:41.556 SIGNAL   power=-104.5dBm snr=22.3dB
2026-03-05 01:38:42.346 PULSE    pos=36 sym=1 width=492ms t=112.156s
2026-03-05 01:38:43.188 PULSE    pos=37 sym=1 width=548ms t=113.072s
2026-03-05 01:38:43.560 SIGNAL   power=-107.9dBm snr=18.7dB
2026-03-05 01:38:44.282 PULSE    pos=38 sym=M width=643ms t=114.030s
2026-03-05 01:38:45.190 PULSE    pos=39 sym=1 width=520ms t=115.078s
2026-03-05 01:38:45.563 SIGNAL   power=-113.2dBm snr=13.5dB
2026-03-05 01:38:46.048 PULSE    pos=40 sym=1 width=511ms t=115.978s
2026-03-05 01:38:47.146 PULSE    pos=41 sym=1 width=433ms t=117.085s
2026-03-05 01:38:47.565 SIGNAL   power=-114.7dBm snr=12.2dB
2026-03-05 01:38:47.953 PULSE    pos=42 sym=1 width=368ms t=118.055s
2026-03-05 01:38:49.311 PULSE    pos=43 sym=M width=641ms t=119.059s
2026-03-05 01:38:49.569 SIGNAL   power=-115.8dBm snr=11.0dB
2026-03-05 01:38:50.286 PULSE    pos=44 sym=M width=762ms t=119.959s
2026-03-05 01:38:51.045 PULSE    pos=45 sym=1 width=571ms t=120.981s
2026-03-05 01:38:51.571 SIGNAL   power=-111.8dBm snr=15.0dB
2026-03-05 01:38:51.950 PULSE    pos=46 sym=1 width=532ms t=121.905s
2026-03-05 01:38:53.051 PULSE    pos=47 sym=M width=608ms t=122.974s
2026-03-05 01:38:53.574 SIGNAL   power=-114.7dBm snr=11.9dB
2026-03-05 01:38:53.758 PULSE    pos=48 sym=1 width=451ms t=123.874s
2026-03-05 01:38:55.013 PULSE    pos=49 sym=M width=739ms t=124.794s
2026-03-05 01:38:55.577 SIGNAL   power=-111.7dBm snr=14.9dB
2026-03-05 01:38:55.796 PULSE    pos=50 sym=M width=644ms t=125.756s
2026-03-05 01:38:56.950 PULSE    pos=51 sym=M width=842ms t=126.676s
2026-03-05 01:38:57.579 SIGNAL   power=-113.9dBm snr=12.6dB
2026-03-05 01:38:58.147 PULSE    pos=52 sym=? width=1101ms t=127.738s
2026-03-05 01:38:59.311 PULSE    pos=53 sym=? width=1101ms t=128.978s
2026-03-05 01:38:59.583 SIGNAL   power=-112.0dBm snr=14.7dB
2026-03-05 01:39:00.412 PULSE    pos=54 sym=M width=919ms t=130.173s
2026-03-05 01:39:01.412 PULSE    pos=55 sym=M width=621ms t=131.442s
2026-03-05 01:39:01.586 SIGNAL   power=-107.1dBm snr=19.7dB
2026-03-05 01:39:02.074 PULSE    pos=56 sym=0 width=251ms t=132.494s
2026-03-05 01:39:03.378 PULSE    pos=57 sym=M width=599ms t=133.453s
2026-03-05 01:39:03.589 SIGNAL   power=-106.8dBm snr=19.7dB
2026-03-05 01:39:04.275 PULSE    pos=58 sym=1 width=404ms t=134.556s
2026-03-05 01:39:05.210 PULSE    pos=59 sym=0 width=313ms t=135.646s
2026-03-05 01:39:05.211 ERROR    Frame error: Too many errors (9): missing markers at [19, 39, 9, 29]
2026-03-05 01:39:05.211 SYNC     Sync lost. Resyncing...
2026-03-05 01:39:05.592 SIGNAL   power=-109.1dBm snr=17.3dB
2026-03-05 01:39:06.311 PULSE    pos= 0 sym=1 width=474ms t=136.546s
2026-03-05 01:39:07.216 PULSE    pos= 0 sym=1 width=497ms t=137.446s
2026-03-05 01:39:07.599 SIGNAL   power=-107.7dBm snr=18.9dB
2026-03-05 01:39:08.172 PULSE    pos= 0 sym=1 width=470ms t=138.477s
2026-03-05 01:39:09.084 PULSE    pos= 0 sym=1 width=427ms t=139.377s
2026-03-05 01:39:09.604 SIGNAL   power=-115.7dBm snr=11.1dB
2026-03-05 01:39:10.075 PULSE    pos= 0 sym=1 width=481ms t=140.355s
2026-03-05 01:39:11.210 PULSE    pos= 0 sym=M width=585ms t=141.437s
2026-03-05 01:39:11.606 SIGNAL   power=-111.3dBm snr=15.3dB
2026-03-05 01:39:12.018 PULSE    pos= 0 sym=1 width=462ms t=142.350s
2026-03-05 01:39:13.016 PULSE    pos= 0 sym=1 width=549ms t=143.360s
2026-03-05 01:39:13.609 SIGNAL   power=-114.4dBm snr=12.2dB
2026-03-05 01:39:14.171 PULSE    pos= 0 sym=M width=785ms t=144.260s
2026-03-05 01:39:14.171 SYNC     Found 1 of 2 consecutive markers (785ms)
2026-03-05 01:39:14.980 PULSE    pos= 0 sym=M width=594ms t=145.313s
2026-03-05 01:39:15.613 SIGNAL   power=-117.0dBm snr=9.6dB
2026-03-05 01:39:15.923 PULSE    pos= 0 sym=M width=641ms t=146.213s
2026-03-05 01:39:16.213 PULSE    pos= 0 sym=0 width=60ms t=147.113s
2026-03-05 01:39:17.616 SIGNAL   power=-106.9dBm snr=19.6dB
2026-03-05 01:39:17.731 PULSE    pos= 0 sym=M width=650ms t=148.020s
2026-03-05 01:39:18.890 PULSE    pos= 0 sym=M width=923ms t=148.944s
2026-03-05 01:39:18.890 SYNC     Found 1 of 2 consecutive markers (923ms)
2026-03-05 01:39:19.574 PULSE    pos= 0 sym=M width=597ms t=149.997s
2026-03-05 01:39:19.620 SIGNAL   power=-108.0dBm snr=18.5dB
2026-03-05 01:39:20.790 PULSE    pos= 0 sym=M width=830ms t=150.897s
2026-03-05 01:39:20.791 SYNC     Found 1 of 2 consecutive markers (830ms)
2026-03-05 01:39:21.624 SIGNAL   power=-115.2dBm snr=11.5dB
2026-03-05 01:39:21.829 PULSE    pos= 0 sym=? width=1101ms t=151.898s
2026-03-05 01:39:22.240 PULSE    pos= 0 sym=0 width=232ms t=153.000s
2026-03-05 01:39:23.442 PULSE    pos= 0 sym=1 width=485ms t=153.900s
2026-03-05 01:39:23.627 SIGNAL   power=-113.2dBm snr=13.5dB
2026-03-05 01:39:24.282 PULSE    pos= 0 sym=1 width=558ms t=154.800s
2026-03-05 01:39:25.297 PULSE    pos= 0 sym=1 width=564ms t=155.721s
2026-03-05 01:39:25.631 SIGNAL   power=-113.4dBm snr=13.2dB
2026-03-05 01:39:26.085 PULSE    pos= 0 sym=1 width=514ms t=156.621s
2026-03-05 01:39:27.136 PULSE    pos= 0 sym=1 width=558ms t=157.656s
2026-03-05 01:39:27.542 PULSE    pos= 0 sym=0 width=99ms t=158.556s
2026-03-05 01:39:27.634 SIGNAL   power=-110.8dBm snr=15.7dB
2026-03-05 01:39:29.140 PULSE    pos= 0 sym=1 width=337ms t=159.857s
2026-03-05 01:39:29.637 SIGNAL   power=-122.7dBm snr=3.7dB
2026-03-05 01:39:29.981 PULSE    pos= 0 sym=1 width=359ms t=160.757s
2026-03-05 01:39:30.985 PULSE    pos= 0 sym=1 width=373ms t=161.759s
2026-03-05 01:39:31.641 SIGNAL   power=-109.7dBm snr=17.0dB
2026-03-05 01:39:31.791 PULSE    pos= 0 sym=0 width=285ms t=162.703s
2026-03-05 01:39:32.953 PULSE    pos= 0 sym=1 width=494ms t=163.622s
2026-03-05 01:39:33.647 SIGNAL   power=-112.8dBm snr=13.3dB
2026-03-05 01:39:33.949 PULSE    pos= 0 sym=M width=597ms t=164.573s
2026-03-05 01:39:35.274 PULSE    pos= 0 sym=M width=937ms t=165.541s
2026-03-05 01:39:35.274 SYNC     Found 1 of 2 consecutive markers (937ms)
2026-03-05 01:39:35.651 SIGNAL   power=-115.8dBm snr=10.6dB
2026-03-05 01:39:36.499 PULSE    pos= 0 sym=? width=1101ms t=166.705s
2026-03-05 01:39:37.609 PULSE    pos= 0 sym=? width=1101ms t=167.807s
2026-03-05 01:39:37.654 SIGNAL   power=-110.1dBm snr=16.5dB
2026-03-05 01:39:38.657 PULSE    pos= 0 sym=? width=1101ms t=168.909s
2026-03-05 01:39:39.240 PULSE    pos= 0 sym=1 width=493ms t=170.011s
2026-03-05 01:39:39.659 SIGNAL   power=-112.2dBm snr=14.5dB
2026-03-05 01:39:39.951 PULSE    pos= 0 sym=1 width=338ms t=170.911s
2026-03-05 01:39:40.796 PULSE    pos= 0 sym=0 width=321ms t=171.811s
2026-03-05 01:39:41.601 PULSE    pos= 0 sym=0 width=282ms t=172.711s
2026-03-05 01:39:41.662 SIGNAL   power=-110.1dBm snr=16.5dB
2026-03-05 01:39:42.797 PULSE    pos= 0 sym=1 width=539ms t=173.611s
2026-03-05 01:39:43.460 PULSE    pos= 0 sym=0 width=192ms t=174.686s
2026-03-05 01:39:43.665 SIGNAL   power=-113.6dBm snr=12.9dB
2026-03-05 01:39:44.361 PULSE    pos= 0 sym=0 width=67ms t=175.672s
2026-03-05 01:39:45.560 PULSE    pos= 0 sym=0 width=326ms t=176.572s
2026-03-05 01:39:45.666 SIGNAL   power=-115.5dBm snr=11.3dB
2026-03-05 01:39:46.311 PULSE    pos= 0 sym=0 width=282ms t=177.482s
2026-03-05 01:39:47.406 PULSE    pos= 0 sym=1 width=466ms t=178.382s
2026-03-05 01:39:47.670 SIGNAL   power=-117.2dBm snr=9.2dB
2026-03-05 01:39:48.113 PULSE    pos= 0 sym=0 width=240ms t=179.282s
2026-03-05 01:39:49.051 PULSE    pos= 0 sym=1 width=330ms t=180.246s
2026-03-05 01:39:49.672 SIGNAL   power=-115.5dBm snr=11.2dB
2026-03-05 01:39:50.148 PULSE    pos= 0 sym=1 width=433ms t=181.146s
2026-03-05 01:39:51.054 PULSE    pos= 0 sym=1 width=435ms t=182.112s
2026-03-05 01:39:51.677 SIGNAL   power=-115.2dBm snr=11.5dB
2026-03-05 01:39:52.016 PULSE    pos= 0 sym=1 width=437ms t=183.012s
2026-03-05 01:39:53.306 PULSE    pos= 0 sym=M width=669ms t=184.173s
2026-03-05 01:39:53.680 SIGNAL   power=-113.2dBm snr=13.3dB
2026-03-05 01:39:54.271 PULSE    pos= 0 sym=M width=735ms t=185.082s
2026-03-05 01:39:54.271 SYNC     Found 1 of 2 consecutive markers (735ms)
2026-03-05 01:39:55.458 PULSE    pos= 0 sym=? width=1101ms t=185.982s
2026-03-05 01:39:55.684 SIGNAL   power=-108.4dBm snr=18.5dB
2026-03-05 01:39:55.764 PULSE    pos= 0 sym=0 width=208ms t=187.084s
2026-03-05 01:39:57.213 PULSE    pos= 0 sym=M width=854ms t=187.984s
2026-03-05 01:39:57.214 SYNC     Found 1 of 2 consecutive markers (854ms)
2026-03-05 01:39:57.687 SIGNAL   power=-114.8dBm snr=11.9dB
2026-03-05 01:39:58.025 PULSE    pos= 0 sym=M width=618ms t=189.044s
2026-03-05 01:39:59.307 PULSE    pos= 0 sym=M width=622ms t=190.269s
2026-03-05 01:39:59.689 SIGNAL   power=-109.1dBm snr=17.5dB
2026-03-05 01:39:59.955 PULSE    pos= 0 sym=1 width=448ms t=191.177s
2026-03-05 01:40:01.176 PULSE    pos= 0 sym=M width=665ms t=192.181s
2026-03-05 01:40:01.692 SIGNAL   power=-113.9dBm snr=12.9dB
2026-03-05 01:40:01.762 PULSE    pos= 0 sym=0 width=180ms t=193.186s
2026-03-05 01:40:03.114 PULSE    pos= 0 sym=M width=773ms t=194.086s
2026-03-05 01:40:03.115 SYNC     Found 1 of 2 consecutive markers (773ms)
2026-03-05 01:40:03.627 PULSE    pos= 0 sym=0 width=251ms t=195.057s
2026-03-05 01:40:03.702 SIGNAL   power=-115.1dBm snr=11.5dB
2026-03-05 01:40:05.373 GAPFILL  pos= 0 sym=? (missed pulse)
2026-03-05 01:40:05.373 PULSE    pos= 0 sym=0 width=167ms t=196.960s
2026-03-05 01:40:05.704 SIGNAL   power=-113.8dBm snr=13.0dB
2026-03-05 01:40:06.291 PULSE    pos= 0 sym=0 width=92ms t=197.904s
2026-03-05 01:40:07.659 PULSE    pos= 0 sym=M width=614ms t=198.804s
2026-03-05 01:40:07.707 SIGNAL   power=-109.7dBm snr=17.0dB
2026-03-05 01:40:08.437 PULSE    pos= 0 sym=1 width=503ms t=199.773s
2026-03-05 01:40:09.710 SIGNAL   power=-115.2dBm snr=11.6dB
2026-03-05 01:40:09.849 PULSE    pos= 0 sym=M width=895ms t=200.673s
2026-03-05 01:40:09.849 SYNC     Found 1 of 2 consecutive markers (895ms)
2026-03-05 01:40:10.681 PULSE    pos= 0 sym=1 width=488ms t=201.986s
2026-03-05 01:40:11.367 PULSE    pos= 0 sym=0 width=126ms t=203.016s
2026-03-05 01:40:11.713 SIGNAL   power=-107.7dBm snr=18.8dB
2026-03-05 01:40:12.988 PULSE    pos= 0 sym=M width=862ms t=203.916s
2026-03-05 01:40:12.988 SYNC     Found 1 of 2 consecutive markers (862ms)
2026-03-05 01:40:13.370 PULSE    pos= 0 sym=0 width=306ms t=204.911s
2026-03-05 01:40:13.719 SIGNAL   power=-112.2dBm snr=14.3dB
2026-03-05 01:40:14.141 PULSE    pos= 0 sym=0 width=181ms t=205.821s
